,Link,Name,Spots
120013,/camping/butano-sp/r/facilityDetails.do?contractCode=CA&parkId=120013,BUTANO SP,0
74186,/camping/butte-lake/r/facilityDetails.do?contractCode=NRSO&parkId=74186,BUTTE LAKE,38
70171,/camping/buttercup-group-camp/r/facilityDetails.do?contractCode=NRSO&parkId=70171,BUTTERCUP GROUP CAMP,0
75428,/camping/calida/r/facilityDetails.do?contractCode=NRSO&parkId=75428,CAL-IDA,13
120014,/camping/calaveras-big-trees-sp/r/facilityDetails.do?contractCode=CA&parkId=120014,CALAVERAS BIG TREES SP,7
72184,/camping/camp-4-group-campground/r/facilityDetails.do?contractCode=NRSO&parkId=72184,CAMP 4 GROUP CAMPGROUND,0
73975,/camping/camp-9/r/facilityDetails.do?contractCode=NRSO&parkId=73975,CAMP 9,11
71677,/camping/camp-three-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71677,CAMP THREE CAMPGROUND,37
73937,/camping/capps-crossing/r/facilityDetails.do?contractCode=NRSO&parkId=73937,CAPPS CROSSING,0
75437,/camping/carlton/r/facilityDetails.do?contractCode=NRSO&parkId=75437,CARLTON,7
120015,/camping/carpinteria-sb/r/facilityDetails.do?contractCode=CA&parkId=120015,CARPINTERIA SB,0
120016,/camping/castle-crags-sp/r/facilityDetails.do?contractCode=CA&parkId=120016,CASTLE CRAGS SP,60
120017,/camping/caswell-memorial-sp/r/facilityDetails.do?contractCode=CA&parkId=120017,CASWELL MEMORIAL SP,60
71589,/camping/catavee/r/facilityDetails.do?contractCode=NRSO&parkId=71589,CATAVEE,0
71722,/camping/cedar-bluff/r/facilityDetails.do?contractCode=NRSO&parkId=71722,CEDAR BLUFF,20
71995,/camping/cerro-alto-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71995,CERRO ALTO CAMPGROUND,7
75436,/camping/chapman/r/facilityDetails.do?contractCode=NRSO&parkId=75436,CHAPMAN,21
73541,/camping/chekaka-recreation-area-lake-mendocino/r/facilityDetails.do?contractCode=NRSO&parkId=73541,CHEKAKA RECREATION AREA LAKE MENDOCINO,0
110533,/camping/cherry-valley/r/facilityDetails.do?contractCode=NRSO&parkId=110533,CHERRY VALLEY,27
71609,/camping/chilcoot/r/facilityDetails.do?contractCode=NRSO&parkId=71609,CHILCOOT,0
